target_emotion,target_emotion_intensity,strongest_emotion,classification_correct,emotional_activation,frames_processed,neutral_mean,neutral_std,neutral_max,surprise_mean,surprise_std,surprise_max,fear_mean,fear_std,fear_max,disgust_mean,disgust_std,disgust_max,angry_mean,angry_std,angry_max,happy_mean,happy_std,happy_max,sad_mean,sad_std,sad_max,participant,voice_type,video_path,filename,voice_condition
neutral,0.514757327735337,neutral,True,0.21872197646869249,8,0.514757327735337,0.18817761789045717,0.7312882478601884,0.2255248629014341,0.13490577026102288,0.36719691185585274,0.2758704591201248,0.1497800890196892,0.5738369765240073,0.226919660814673,0.1446022257439333,0.4846398230199686,0.1626605915097499,0.09234457295331948,0.33793494935392177,0.17379194795719544,0.10468862440871747,0.34873014135708297,0.2475643365089776,0.18869299795045677,0.5070851169863297,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_neutral_exchange_0.mp4,andreea1_Emotional_OpenAI_TTS_neutral_exchange_0.mp4,Emotional
surprise,0.20955734629078318,neutral,False,0.1836068267296099,7,0.6506187537453368,0.13039722646918267,0.8298961277936667,0.20955734629078318,0.17319545926554106,0.4362051448866836,0.16162326502288218,0.12427587362753692,0.31488146711756093,0.15341229261561745,0.12169940971918543,0.36045485684889894,0.23093158242504602,0.08943350857630872,0.3317006364756171,0.18972542421849933,0.12107501995295541,0.3990491150361867,0.15639104980483115,0.17095027045716588,0.46687108880925404,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_surprise_exchange_1.mp4,andreea1_Emotional_OpenAI_TTS_surprise_exchange_1.mp4,Emotional
fear,0.2243425764906688,neutral,False,0.2161202226754049,6,0.7436635144463527,0.13066366724570969,0.9121351127332102,0.14327270693658756,0.09941464814463744,0.30563495744953284,0.2243425764906688,0.14473022585775494,0.3838386855977344,0.19580013092794402,0.15615366810961975,0.39242195673535973,0.2165533991734864,0.10831276147283457,0.31821431629998015,0.18635340903304934,0.17404925232027027,0.46891193328860503,0.33039911349069345,0.09127959364032397,0.44804017296185245,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_fear_exchange_2.mp4,andreea1_Emotional_OpenAI_TTS_fear_exchange_2.mp4,Emotional
disgust,0.22639876832002834,neutral,False,0.21734572821166764,7,0.5908928768053956,0.1821489442068469,0.8822829495455651,0.24623046612435703,0.11554238072415576,0.43847677022238024,0.23490234120023165,0.06972287113629885,0.31738228285284514,0.22639876832002834,0.1466223047829978,0.43684737442204935,0.15502042405626965,0.15327113511885393,0.41052844244287234,0.22182076510691737,0.10195440429215132,0.43802223795153283,0.21970160446220208,0.15248323023068863,0.4126396822178222,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_disgust_exchange_3.mp4,andreea1_Emotional_OpenAI_TTS_disgust_exchange_3.mp4,Emotional
angry,0.15753041313396987,neutral,False,0.15339032821748336,10,0.5602839735116082,0.25980474066930265,0.9365438527664428,0.15509260311317474,0.15224639602698187,0.4135126648609254,0.13885561458581003,0.06984647460400051,0.27544867818369007,0.06229908378637618,0.0582355676999526,0.14878541095186346,0.15753041313396987,0.15539579019188418,0.3975726171153626,0.21630604906711287,0.1782887466119791,0.4719565164858305,0.19025820561845647,0.11173668174274726,0.3828587651220695,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_angry_exchange_4.mp4,andreea1_Emotional_OpenAI_TTS_angry_exchange_4.mp4,Emotional
happy,0.18117233685348566,neutral,False,0.2040482029823065,6,0.6388933697372161,0.18676066852557915,0.958587577859128,0.2148546461536153,0.11865438482737097,0.3747033771265271,0.1940675154407884,0.18237195413807517,0.4343340062126041,0.16734960810430977,0.08048292113328084,0.23848800386799904,0.19706936889083285,0.11538963152614533,0.3068344245227391,0.18117233685348566,0.1284927604987214,0.3863042120740873,0.2697757424508071,0.115187703681412,0.4459268616901288,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_happy_exchange_5.mp4,andreea1_Emotional_OpenAI_TTS_happy_exchange_5.mp4,Emotional
sad,0.19445826879851535,neutral,False,0.200205732602307,9,0.5883165109472759,0.22555405584846497,0.9085377077412786,0.10342541899188513,0.13085000680983652,0.3401583721362057,0.23878472450977561,0.12407595095365594,0.3728991639737598,0.17213857625686202,0.1305627451779766,0.34326924851018104,0.14558268822865236,0.09873356036949905,0.2981624563887809,0.34684471882815154,0.12744222514588516,0.49078115886254575,0.19445826879851535,0.18230771190533504,0.5404794907920918,andreea1,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotional_OpenAI_TTS_sad_exchange_6.mp4,andreea1_Emotional_OpenAI_TTS_sad_exchange_6.mp4,Emotional
happy,0.19076342340290886,neutral,False,0.20935182626302226,9,0.46980207982992706,0.14662129998625784,0.6589801280257763,0.20446344691855725,0.10113611237087586,0.3522462973017567,0.15720358360660214,0.15071162658758383,0.4200661979124385,0.31241209782758295,0.15472827739615727,0.6484291042345134,0.22359618696234587,0.13187489999212054,0.42040347744384327,0.19076342340290886,0.15705370129707086,0.4986436399372564,0.16767221886013647,0.08832855252926146,0.29389635771102685,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_happy_exchange_0.mp4,andreea1_Emotionless_Voice_happy_exchange_0.mp4,Emotionless
angry,0.2031328577855971,neutral,False,0.2333144172891685,7,0.753536531626481,0.17699030226332615,1.0,0.27985779984355635,0.09622495253210409,0.4036811982426498,0.2658657158405455,0.09704557077314646,0.3923705761151739,0.23309728381130027,0.14134175418045067,0.4012490444049236,0.2031328577855971,0.15238387002960432,0.41341465611832673,0.23927813015364952,0.1494244646084329,0.399340657730597,0.17865471630036248,0.1195924718164262,0.3134741572034505,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_angry_exchange_1.mp4,andreea1_Emotionless_Voice_angry_exchange_1.mp4,Emotionless
sad,0.156967108568269,neutral,False,0.19519590604980794,9,0.5904174855429982,0.17899332990475025,0.9637612376168788,0.23647157840651575,0.19986886541967744,0.5447971358277333,0.1853241695447341,0.13007700604931044,0.3185353350132669,0.1770648044176458,0.1391844102788791,0.4214076189704821,0.2405471460524619,0.11528236019331509,0.36681343719398773,0.17480062930922083,0.20029574079659046,0.649403195357749,0.156967108568269,0.11732186881599851,0.35540562439332113,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_sad_exchange_2.mp4,andreea1_Emotionless_Voice_sad_exchange_2.mp4,Emotionless
surprise,0.2526207933920893,neutral,False,0.20446685077849627,10,0.6501368884916816,0.12198846862976431,0.7966634592507724,0.2526207933920893,0.14302180644451806,0.42612774005539394,0.263411046253877,0.16284068350164213,0.5665140895335269,0.16579854136392505,0.12558730617022265,0.35885361087700096,0.16445066359421978,0.12041984523582426,0.32218173573830633,0.1768706759020599,0.14452077497213067,0.37973097878553363,0.2036493841648066,0.1379552832126275,0.3975440865123324,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_surprise_exchange_3.mp4,andreea1_Emotionless_Voice_surprise_exchange_3.mp4,Emotionless
disgust,0.1591015471906746,neutral,False,0.17473253104340258,9,0.5253728252701291,0.10276987573024653,0.7122224674095026,0.16583305106969048,0.16378294578979996,0.5155204948633498,0.15023139747749045,0.1394603405252978,0.4123575383457835,0.1591015471906746,0.1519846682291883,0.3909640135735256,0.16642789941250047,0.14167504335416276,0.3790152498455909,0.13653808455474312,0.12762699360359975,0.3168765618324757,0.2702632065553163,0.1540317122840373,0.5233185543986201,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_disgust_exchange_4.mp4,andreea1_Emotionless_Voice_disgust_exchange_4.mp4,Emotionless
fear,0.1484206029912287,neutral,False,0.2342469385682693,10,0.5835015474694356,0.15283490173869446,0.8773794364501252,0.23970720097406772,0.13032456235801532,0.4557434657177917,0.1484206029912287,0.1285873789492926,0.4316237349087881,0.2692114046425761,0.11642803619805767,0.471700165624217,0.3033798884558257,0.09917190273435991,0.4169643742685111,0.19123081319379692,0.1314895174061171,0.37735748267170793,0.2535317211521207,0.13605822072481516,0.4572698053267751,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_fear_exchange_5.mp4,andreea1_Emotionless_Voice_fear_exchange_5.mp4,Emotionless
neutral,0.5232055920727088,neutral,True,0.17416325023024956,5,0.5232055920727088,0.13624164465862418,0.7347409262591261,0.14980388640934797,0.14837120876417742,0.3040684075785887,0.20269800899020818,0.14012832570758177,0.39613393082412984,0.16540918937177412,0.14873845414756248,0.4058703729624602,0.18973362693094634,0.18300311983817263,0.41886997165037687,0.1289225604322471,0.13059081119110558,0.334781513876516,0.20841222924697358,0.10173565287050167,0.3262414422868257,andreea1,Emotionless_Voice,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-17-41_andreea1\videos\andreea1_Emotionless_Voice_neutral_exchange_6.mp4,andreea1_Emotionless_Voice_neutral_exchange_6.mp4,Emotionless
sad,0.32538767003878294,neutral,False,0.19167612661453823,5,0.5289286920012526,0.18865207671475576,0.7516500789659595,0.2209063253030878,0.16391894234543053,0.4228727513141972,0.13524284500517386,0.11915003951936826,0.29164582362561464,0.17694550382325872,0.1673006380023487,0.4043796410300864,0.11869439622766302,0.13888697343704312,0.33864746708182003,0.17288001928926305,0.08190674262341743,0.2611849488031944,0.32538767003878294,0.10486770308111665,0.44884537376775047,vasilis2,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-32-51_vasilis2\videos\vasilis2_Emotional_OpenAI_TTS_sad_exchange_0.mp4,vasilis2_Emotional_OpenAI_TTS_sad_exchange_0.mp4,Emotional
surprise,0.20991430137987677,neutral,False,0.20583638834406823,7,0.6493890467363255,0.20075367722253804,0.98483731031892,0.20991430137987677,0.16724987205448927,0.38686909655474433,0.15051661659220977,0.03155862110247369,0.1944198684919707,0.24130126011514813,0.13600751977600628,0.413363919378957,0.2294651927524932,0.16058694705071375,0.40910626716872966,0.21060297602954817,0.14401041062995817,0.46729229494468627,0.1932179831951333,0.12629962591196653,0.4214592151822487,vasilis2,Emotional_OpenAI_TTS,C:\python\Uni\Year_3\block_4\Story_project\logs\sessions\2025-06-04_17-32-51_vasilis2\videos\vasilis2_Emotional_OpenAI_TTS_surprise_exchange_1.mp4,vasilis2_Emotional_OpenAI_TTS_surprise_exchange_1.mp4,Emotional
