frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,95,102,178,144,0.38954437078693044,0.09142062097786878,0.22773485487602155,0.0,0.47778488647836603,0.38842920960684846,0.06537792419314425
1,0,96,99,174,144,1.0,0.2529207807471861,0.29014039573801365,0.19793863127552752,0.10197003909675346,0.33729045381256273,0.2649221925436903
2,0,82,103,148,133,0.8965586427411294,0.38885356871875865,0.21485035685088902,0.2607940247766594,0.30656411456991045,0.25460000069361693,0.3247307270857591
3,0,83,95,168,172,0.7767763332444995,0.19368072569477798,0.2753763004703908,0.25706383645400877,0.2984642430622613,0.20290237817612253,0.42062242922805576
4,0,100,85,165,149,0.6993567673866169,0.34315410118041495,0.15054412483868354,0.22902488688734124,0.0,0.26538120120395947,0.16563621204513596
5,0,87,95,172,160,0.6394069541093602,0.14216877414514925,0.2494188973278657,0.3132199709305704,0.28165397679379545,0.19453717917066024,0.0
6,0,108,105,176,137,0.8829464120316144,0.0,0.36175444950536995,0.31008311160060276,0.23182346725804281,0.23600145211091691,0.3037693872075396
7,0,110,110,179,158,0.6398446725356629,0.05975289947175183,0.06325373879390753,0.03411993068520494,0.08476238402987143,0.07578557490428905,0.0
8,0,112,90,127,169,0.5787068793824697,0.030705316192631088,0.21270679164967804,0.32452088424630643,0.3548167774010538,0.23202761910115804,0.276941893801961
9,0,112,92,170,155,0.41258411816326,0.1098569604934238,0.4148603257925424,0.4208322491583615,0.022106908707615697,0.15926231395922125,0.1662256116897591
