frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,95,87,139,126,0.7903103552845658,0.4685701544209157,0.1901449542002843,0.06775701721093283,0.015486807269397718,0.17759332408718334,0.2995797837816077
1,0,80,94,155,171,0.8849341140241043,0.4989860462789334,0.3002055023147967,0.06511685097958567,0.41412504393131955,0.08367257197047519,0.20645037273430988
2,0,97,83,132,146,0.3535081791252753,0.004450745483882024,0.17613297691661453,0.09023881413654852,0.16776535575936014,0.48160401718551105,0.24752491413743438
3,0,91,93,151,148,0.5854848798826674,0.07855147182880434,0.0,0.18967545398954563,0.0,0.26596560570391636,0.08318186328684486
4,0,102,82,134,167,0.5229910776148758,0.1912773436206301,0.1248924500016844,0.06972302919249887,0.10240861391285229,0.0,0.27673498261815466
5,0,103,101,145,165,0.38185863159368305,0.2104220621862861,0.21954263051063846,0.07181761870596862,0.1696001429631334,0.11195100356041673,0.17588168146689767
6,0,93,107,157,160,0.9432222572739183,0.1467057449743517,0.1716152799396094,0.037116210717984294,0.24721094621734876,0.0,0.0
7,0,102,113,120,124,0.5133044454281428,0.2091402279147057,0.18327248974562763,0.35773224406768145,0.1971798316000866,0.21368005133143925,0.22273574761301965
8,0,86,97,131,138,0.5964743189528044,0.2023220941206506,0.0,0.019075072318220115,0.11547583485662198,0.4026741980750491,0.09321939981643663
9,0,88,117,122,122,0.9133276822115035,0.0,0.14657534830372537,0.23374296189916616,0.1640855014696997,0.27963141563372634,0.285581652894836
