frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,86,85,159,120,0.7218428631099745,0.27446203679439063,0.09127768882029522,0.0,0.0,0.07641718878131923,0.1118960118715159
1,0,98,95,163,156,0.6296579517416455,0.04726402619430664,0.17743939431995248,0.351620489174137,0.07810471329673449,0.0,0.02438639624730432
2,0,104,104,156,123,0.6037921711316425,0.10824093979380818,0.26125572197396807,0.5674901490433626,0.19059100488948347,0.12626868875403613,0.0
3,0,91,110,133,156,0.48230872158120197,0.5404190011096541,0.23010554369981193,0.27787320421427963,0.2063891855426252,0.17129616677906712,0.26671653047515137
4,0,111,91,122,140,0.44256668979428415,0.0,0.13387813704617074,0.29035741460417197,0.1238105418746919,0.11202574136137479,0.20926161483353137
5,0,99,117,161,160,0.6829714950453246,0.16801061539040144,0.1422697972498214,0.20594503362236632,0.10083067081978421,0.28153600373912924,0.1429101468228311
6,0,98,89,127,136,0.658539628929368,0.30874379525984674,0.03367434876098177,0.28460650546235455,0.2971639250962598,0.08137220797824746,0.25492119840620164
7,0,90,95,133,151,0.3615427909013528,0.18067194517450003,0.16798637582912332,0.24764487815756972,0.5012241048550032,0.07536807533399696,0.31537313384196947
8,0,106,107,123,139,0.6934473185452747,0.3033567669063647,0.12387852181187291,0.14524102295609612,0.18132014085892006,0.19297728150513263,0.3728081207964395
9,0,84,84,139,135,0.7680072490609569,0.11106566070775041,0.054559369061998875,0.13534878561390623,0.43828613598987454,0.15562793876583697,0.3856306349764018
