frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,110,106,148,150,0.4899410944876192,0.32527693021247306,0.17771928061489825,0.04930277939000324,0.06041058912170463,0.19999550265692256,0.2033130679781614
1,0,87,108,164,136,0.7601351443081921,0.3371129702416866,0.2735059898018253,0.11934326195377258,0.06699676933995499,0.2885582440315577,0.09135584592526258
2,0,107,102,149,150,0.746509455638899,0.0,0.0,0.21163418134789777,0.10570911361528457,0.22398567148467083,0.02883202065859472
3,0,81,82,173,160,0.687052424602077,0.35372621015901146,0.31461236474726656,0.2639844122663132,0.07922516011424863,0.3414331432287705,0.06372262487716907
4,0,94,103,161,120,0.8612610118931407,0.2241718375122297,0.09573338085629554,0.2856290756750971,0.0,0.36749512605232304,0.16772497481936413
5,0,99,104,147,157,0.7345331321041694,0.35860151105651317,0.004469119765924928,0.2804587055794241,0.3800502469536743,0.5034062967844344,0.13033202370163607
6,0,119,101,163,178,0.7734352750650849,0.2564462443940645,0.04699051572388241,0.17711727099510113,0.40713966645269717,0.2645029110875188,0.44721589184987354
7,0,111,109,174,177,0.4787995395123873,0.22845260872338105,0.10606846016707272,0.0,0.2175481781442945,0.10908996427107806,0.2664844833726446
8,0,105,89,149,125,0.9048970436721933,0.23015580716769593,0.2795967625038874,0.35760942394308276,0.40458257921239826,0.1356211317064302,0.26179725938070164
9,0,89,92,167,157,0.4187295038051314,0.17790328290995186,0.3713553644627421,0.15721688421152852,0.20357216091140667,0.20005008840403882,0.09056950804636521
