frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,101,117,157,168,0.6593353101328575,0.277822076018519,0.06126716695944723,0.2138896287976101,0.2844320217019868,0.49220254804772556,0.15539160733929908
1,0,91,99,140,160,0.6486744491649761,0.23392931481860624,0.0828778399942339,0.07714052340234792,0.09874127603800809,0.10501820489376347,0.06788190987811754
2,0,99,104,174,152,0.5579251569574486,0.09427728875316357,0.34446561336463727,0.2455317649944672,0.4000169800352533,0.12714753133235146,0.02675242210045431
3,0,104,116,152,169,0.0,0.09063268463589332,0.21966117049500855,0.35245474188805415,0.19024688848308383,0.43442755609671213,0.17237629862230464
4,0,100,118,138,176,0.736321097188103,0.03718865871852259,0.0,0.0,0.08148164192169967,0.3717611840291665,0.26988669584685626
5,0,116,90,176,175,0.6671157630044676,0.28577960007789677,0.20743223834283459,0.11244761479895511,0.13396213501389231,0.23985482661373497,0.3555948905065517
6,0,96,117,153,122,0.6214253364870317,0.32198193234894723,0.42671991731895825,0.38932801801348105,0.30015952567484155,0.14837022616107257,0.10639783409850118
7,0,91,110,121,125,0.692988016350598,0.35243885363193383,0.38265873670573525,0.3675644992758107,0.0,0.16556745309120194,0.1726311026457
8,0,85,87,173,135,0.5905977514789541,0.4514825663339482,0.1529305659338887,0.19505935608762837,0.09543473353389531,0.08889761965383074,0.10120087798231922
9,0,87,114,147,144,0.5891765017557792,0.0,0.20670136005947218,0.1330567689776858,0.0,0.434170007911594,0.24422074834186014
