frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,105,116,161,123,0.31693618956752895,0.18263434556608943,0.3422083220853792,0.23363896605485296,0.22423116951510141,0.4109165280905882,0.13772774782424352
1,0,98,112,155,177,0.7274605030171267,0.18282345638175176,0.2512603575018122,0.378495096018638,0.07232171877546467,0.039332666581899406,0.11268950293177996
2,0,95,87,124,179,0.6238045224030696,0.0500458333928509,0.32052880991099386,0.0,0.07606929271502239,0.3661656592928576,0.26158935041734144
3,0,106,104,167,135,0.6802980622718104,0.2886151417216128,0.24893867904928788,0.3494810595894225,0.16591889165959406,0.0762172266303687,0.17783089744008965
4,0,81,113,146,145,0.551000851048759,0.03711740137520536,0.41664011976277726,0.0893743950325836,0.01703273847601064,0.1528660080851418,0.05377563800801674
5,0,104,116,136,126,0.39084436063014905,0.09105876635440813,0.2554290484388808,0.15190812028427678,0.0,0.2846451368765678,0.22108392206855393
6,0,107,114,124,129,0.7203511860350411,0.18776224503137437,0.0,0.23012065765856624,0.23431821598441788,0.25774542930679767,0.4042632775126924
7,0,95,106,141,160,0.5029108287891477,0.1284746361396669,0.2238963298547818,0.097998803346428,0.2125021512693338,0.14209668288939353,0.09939927606283376
8,0,113,102,127,159,0.1490957998421894,0.14556399886123886,0.2490920735773207,0.23101586818888376,0.4999937722909881,0.573721705844675,0.39366021240015026
9,0,93,85,176,139,0.9266534775314296,0.0,0.2334991752913724,0.29176480082091505,0.3684247396929103,0.24933101724089177,0.26430740610020864
