frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,101,85,135,140,0.6757800544950394,0.4031034970455416,0.3478598715884578,0.24391638402717108,0.3331731239786402,0.3562920944377218,0.21054356541366925
1,0,116,85,148,147,0.20815272609029506,0.06405766054653664,0.05673459953593987,0.1838337712309704,0.0,0.2548128988980573,0.14868057017286165
2,0,92,106,177,174,0.6924256329508887,0.0,0.17603129269673287,0.08440272073310431,0.3207820467856305,0.0,0.13491625078410216
3,0,96,83,146,165,0.5316712616403171,0.31509163254315153,0.0,0.3590948100543636,0.2005306069658737,0.0,0.3878797610633699
4,0,81,108,136,159,0.9818587511605692,0.1491879529402707,0.0,0.11907334875779019,0.010429378238788617,0.3890910953047975,0.1169006487530554
5,0,80,113,176,145,0.6914680687308891,0.008556806560783559,0.0,0.05990377212773337,0.1680704397556132,0.1304968969230914,0.028932765697629675
6,0,83,90,145,163,0.9268195859183066,0.23724910506407165,0.22837550193728978,0.05713386368583093,0.2627513388036017,0.30301851003017033,0.2559584352529331
7,0,95,80,151,150,0.9710873870922311,0.13230325732342973,0.025452311866146576,0.4442217056301958,0.41736086316508625,0.17827811331558818,0.022354967228700867
8,0,84,105,131,158,1.0,0.3332334330511788,0.13505737420398253,0.0803705933866043,0.3494918684398127,0.041146773017106425,0.3224431827240485
9,0,94,82,127,164,0.4649854295911302,0.4791833807646807,0.35009007043709894,0.3276072518968405,0.34092628433052546,0.3164719042571459,0.4009064411999551
