frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,80,117,155,167,0.6525062268316543,0.17415267342314417,0.11326071653267668,0.0,0.25389913777721074,0.07772444018889013,0.10608254415709177
1,0,110,98,144,171,0.89400830428582,0.5365497607662639,0.19344993473551775,0.0,0.22685492144546437,0.30084041279266727,0.0
2,0,90,87,159,178,0.508905221026446,0.13576131203978423,0.18933801760463428,0.18628465246748543,0.14349538826463548,0.0,0.30702203825295643
3,0,119,99,130,120,0.8122089563200316,0.35456445236889833,0.1610914875813527,0.3748970932951459,0.1645212063747102,0.0,0.003025627917075696
4,0,101,101,177,173,0.6314815531614733,0.1478281699495655,0.05577551900598038,0.0352664326000115,0.12986479728920447,0.17213763152537845,0.44924197829120177
5,0,80,83,151,150,0.9186241568869188,0.2450223494639375,0.2978103249667892,0.0,0.39516784101448227,0.3001559319807836,0.10084662229026987
6,0,84,98,144,156,0.6520001637928797,0.0916520550218241,0.28150873692846884,0.0,0.3849906406042253,0.36182861594777505,0.544260999922405
7,0,119,110,156,152,0.7344267812391507,0.2698392858330891,0.0,0.15771520569999062,0.47325984992714837,0.2946399429558739,0.17761673791821045
8,0,108,105,125,150,0.7571901308377078,0.47207945123480455,0.4285982272567167,0.08877740251851815,0.2389885263113888,0.16286343144845802,0.23590777332973825
9,0,102,85,158,147,0.4805975032511143,0.1261753605426122,0.6419745644013672,0.09058544285176463,0.1590683353060384,0.0,0.2727885426427027
