frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,112,92,169,150,0.432182395068188,0.0,0.2045709910845733,0.37357362649100256,0.16231313372149148,0.0865486551037974,0.3093208280102232
1,0,103,98,141,167,0.49800966918415546,0.30636988759652534,0.4202381696451889,0.40913659094800015,0.2738940409517206,0.3857923833611806,0.23836305463146107
2,0,86,95,150,140,0.9494540673142116,0.23090501821586273,0.1159349016884497,0.3408720520135078,0.31703226163134296,0.19585232047401535,0.2581584615561219
3,0,92,114,140,134,0.7008822327684414,0.3541511813366748,0.05407272367061097,0.28343374210922057,0.34471062504155114,0.028384505223997297,0.22232870999354692
4,0,102,92,166,157,0.3904455331307673,0.36552726700816285,0.22717281979768214,0.07478632143266942,0.0,0.3718112494363677,0.2652673150384612
5,0,115,117,151,153,0.529719971139271,0.3397771343505513,0.396316978348902,0.19348338499721573,0.26816608862397384,0.47085230061364486,0.3042995895777624
6,0,82,114,156,139,0.41171317532781315,0.025853126464391446,0.13386940432103586,0.4486476653686639,0.10987106369004905,0.053962095186866205,0.0271235719057607
7,0,94,92,147,178,0.7961788009257877,0.25728023424261726,0.4356802912356269,0.40886590491280533,0.0862476150032112,0.3055800202097072,0.0
8,0,98,91,169,158,0.4411871288687029,0.05997542764906799,0.0,0.15396376835114403,0.3257846163037488,0.417950620642344,0.09260639846714928
9,0,110,95,151,122,0.6318704233976145,0.14904390372692802,0.13055225127567166,0.19648313556913896,0.009078925410284988,0.0,0.35096024067322085
