frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,93,92,167,173,0.6014183024076069,0.2540796407867878,0.1522908760167807,0.20819187710991008,0.10414167916558305,0.33820907806807327,0.3595338362197097
1,0,80,93,143,124,0.6011458106861778,0.47839738534521886,0.46865040557165233,0.20391558063025056,0.0,0.05081567411369045,0.3645166511170307
2,0,118,114,160,147,0.4619748234849047,0.07741812729682217,0.32755167294808496,0.21166955654324687,0.2770235454453347,0.16624671584579392,0.5682858516837788
3,0,98,84,121,163,0.8917070474008832,0.1525474169223182,0.18358941793222822,0.4910426247036438,0.034363719024742945,0.01871898814316772,0.3515895010209409
4,0,90,119,125,149,0.46571131129661025,0.31559506414014327,0.03151190900156947,0.4946480792631624,0.0,0.1447557487922944,0.24376900940127794
5,0,113,102,129,124,0.527100261582005,0.17803781651394737,0.22048559698734427,0.2507903611013221,0.017121359434755568,0.3579190015361601,0.06609416351502423
6,0,82,88,162,168,0.540137226459235,0.13131755959951752,0.47832320369333947,0.6409632888422553,0.3260965937809953,0.42317120637593575,0.3923950991579215
7,0,81,106,159,122,0.6541408702397496,0.0,0.21405929611826102,0.5081747714083436,0.2387111924306133,0.2084227464432412,0.2599057047795522
8,0,95,111,142,144,0.7662432786547927,0.2124159059332392,0.4542835573575555,0.05563806232558163,0.07872561941635906,0.21021749291642583,0.0
9,0,93,100,158,165,0.7170820391317341,0.14328999473826134,0.12359408071996243,0.23523036890587237,0.05145082880568244,0.391359328793616,0.34641277125032377
