frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,95,96,122,125,0.8176955090501626,0.06738719605105309,0.05078033947110583,0.31956083603211727,0.36130833906823345,0.30517793498134627,0.42252113575986383
1,0,84,101,142,124,0.7041863272419469,0.0,0.0,0.3087884181600332,0.3289341393843572,0.07302386738778976,0.31461960430791236
2,0,86,112,120,134,0.7939155653350216,0.28620079834008855,0.1234160138286629,0.10299234030075692,0.22565205397706173,0.0884864280257167,0.28005150711516036
3,0,83,105,143,152,0.5611248522258564,0.26563718855811763,0.3207390356649654,0.24272497938561127,0.31070432848073243,0.23843840930403093,0.08869292153411536
4,0,89,118,176,141,0.2768594724096611,0.21189354483811815,0.3539703370098428,0.28046814847640894,0.0,0.19391269211952084,0.12869902818543638
5,0,115,116,133,145,1.0,0.5559921385819039,0.210510464835283,0.2486690266544962,0.23236277363417135,0.3994987238997798,0.26748484257314786
6,0,96,91,139,154,0.5814913053834289,0.47077942857482236,0.19122719273839925,0.011199152182247818,0.05935036834205762,0.2198927748994631,0.0
7,0,119,105,120,121,0.5908332136946526,0.26124904989832537,0.0,0.4320272601491969,0.19394384637952045,0.0,0.14807495781036908
8,0,117,108,161,146,0.5245484356884805,0.19651074477175248,0.2481850714144239,0.0,0.4157257247280183,0.3046676494727397,0.031027639842713867
9,0,80,104,121,128,0.5150029099622813,0.4065409089890363,0.310077366431124,0.10517710284649166,0.20964601045450526,0.0,0.35994216321217887
