frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,111,104,160,150,0.13907459980098535,0.0,0.23520980518222495,0.11472696177544514,0.28968309441503204,0.2010665894179714,0.2931643252642925
1,0,95,94,142,159,0.7009479574608543,0.14445181502133206,0.22755030289997577,0.027508099066776093,0.054435539721302495,0.02924136276209502,0.07511291230465147
2,0,84,100,168,145,0.5861353850031572,0.39008802322835834,0.3995090213251148,0.10986953330026601,0.2748943152020523,0.3202881183446423,0.14458710935101127
3,0,107,97,125,166,0.9539216964881205,0.18217110520895824,0.1651466513939292,0.28440678770238964,0.14410399316462144,0.17218423923717902,0.32669156333410987
4,0,94,115,156,151,0.5028799817633505,0.5204842085194095,0.00758302186483073,0.3828874951860579,0.34435798235154835,0.3313175045182062,0.24943574597295515
5,0,102,111,129,160,0.44521175302094745,0.3156067229575555,0.015079506835394635,0.28386840949583836,0.04982231949358035,0.03975138343407933,0.3174879055103012
6,0,117,112,142,142,0.623320801173245,0.16557124968114645,0.18384256651602776,0.18344966069062313,0.12531492895640645,0.26510808394690644,0.29440551452704056
7,0,90,115,167,171,0.8204394588580933,0.24685545101777706,0.26166741911920643,0.1706789149385306,0.2641778860335594,0.14338431178801672,0.1389085862944181
8,0,116,94,159,177,0.5567027946585001,0.17280398387931667,0.23295649910750843,0.08326552531058597,0.3926821307996726,0.06528822621251312,0.10877720195625397
9,0,90,107,162,141,0.6466952489547259,0.20841789769607788,0.0,0.3781522071254635,0.5284573548902074,0.11286294619448736,0.2185044964986293
