frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,100,91,167,135,0.7487079301246893,0.05157497171506706,0.08501734041757464,0.23932080496235464,0.2163378559788072,0.09443106327411797,0.07657469014663418
1,0,84,88,154,144,0.42250378733205773,0.22234414462738344,0.23329370308671088,0.21079703829786128,0.324966217699006,0.14404653943031745,0.10270630671672672
2,0,103,94,175,167,1.0,0.04629658541952006,0.12202472789675692,0.24226626514706748,0.007410343989954826,0.20317217556205794,0.06900062914555918
3,0,117,107,141,175,0.5280502292231162,0.3363165249409653,0.46378513313367487,0.15166276128181128,0.26272862520587104,0.24303130518593122,0.34183030248923596
4,0,112,108,161,155,0.9237682809340722,0.11924209304175472,0.4990108989875936,0.15281984923742745,0.32559595315084394,0.4274704020401004,0.28345538674662873
5,0,114,83,139,169,0.5964676620438891,0.15853590855046348,0.12364809844636616,0.13894219024012475,0.0,0.09666561926063258,0.4088725646274224
6,0,103,84,152,138,0.4575212473780025,0.31084705440859717,0.22702162195702202,0.0,0.3739714815006521,0.04460331587887861,0.04732949944567849
7,0,111,111,179,160,0.6654543964262677,0.4934508965640622,0.0,0.19455695198259618,0.14671328119955204,0.24406340104387114,0.3296404886398283
8,0,86,116,152,149,0.0,0.2143361295977354,0.10743571217727803,0.23359087366808243,0.24972813616505796,0.37892250768750946,0.32254737760711816
9,0,112,94,179,126,0.6355069539730668,0.5501439629590934,0.15392089983192184,0.07818595426062275,0.05696656872158548,0.22624861624872739,0.0
