frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,88,113,129,120,0.410102259861148,0.08573717574452333,0.12795372597542204,0.15481938266393988,0.3721739525927318,0.19947477307505188,0.23343153064017846
1,0,81,82,163,157,0.6988337268647538,0.2117060077350734,0.1123321397597931,0.04795078835077338,0.4106899442741989,0.28663638194719876,0.0
2,0,119,96,134,122,0.7845930674592119,0.011038736845271901,0.29260638373224895,0.12517227619650523,0.3555359547822967,0.11909716090767816,0.2897920593879254
3,0,87,86,142,177,0.5006735329279459,0.0,0.3581467505669832,0.4138653736194423,0.0,0.07291942758846548,0.29321743706136744
4,0,82,105,140,159,0.790058736486796,0.4074001289292055,0.07024342805653505,0.2647762362383542,0.4022756551592023,0.15871054654192748,0.23558270036179205
5,0,118,90,147,143,0.717382170674719,0.2102239746058238,0.24535856802092051,0.2991921525572318,0.021730099590000274,0.04595993227872308,0.21184254990733659
6,0,99,117,135,151,0.45342038653754646,0.25944868500742463,0.49508264372063004,0.18913507182366726,0.19884801198108137,0.5652432630938615,0.29976906329125574
7,0,108,91,145,140,0.5157136363800817,0.4388039789462783,0.1887760039849823,0.0,0.3233613080242811,0.07083806774066356,0.2534708259603088
8,0,108,104,146,134,0.609988087252568,0.35276941548725804,0.05811109343708687,0.13241983635315463,0.29499412698756106,0.14663233837552647,0.3718297495783175
9,0,95,98,129,173,0.7582682598241841,0.20672348427637438,0.36275253598976664,0.13285727022807142,0.0,0.30563705506934263,0.3904082345558909
