frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,103,88,131,154,0.649274377986914,0.012016431162973323,0.3750427515744166,0.04312987411480859,0.22704887526057357,0.07133209935958554,0.04530471205852746
1,0,116,116,154,175,0.48862960669981576,0.09881750151898311,0.1805403042486688,0.339221998476443,0.4006777617717927,0.27070807865816426,0.10655123130159724
2,0,104,89,152,128,0.7165229822305246,0.10362031911385652,0.294997335148244,0.23105897899331374,0.1926923792738489,0.20805491474456675,0.16029315679087316
3,0,93,112,127,135,0.3556256306787341,0.3269015553143942,0.11130094466213512,0.13737931691505778,0.0,0.14246482453069598,0.12095646858960547
4,0,102,87,130,144,0.7682501643398745,0.0,0.031975030639253,0.15690548694589676,0.13441093112166766,0.0,0.27534420885288813
5,0,100,89,163,150,0.38752037648328225,0.45669980459254794,0.3457165317083276,0.23965384963167186,0.2238949326925464,0.17276924794914575,0.24780005990203272
6,0,101,86,145,149,0.6544463508342603,0.17690599342662833,0.23113637285724703,0.30503198893624145,0.2884923801772125,0.3911372379508724,0.14269545808146167
7,0,96,99,164,154,1.0,0.2594166558352223,0.3869634948855838,0.037768826419648155,0.44368806242400843,0.07672447183439948,0.5299959581283921
8,0,106,80,127,140,0.7811727322614698,0.16310063919278467,0.050229992110407906,0.11381082163482993,0.4740171611347524,0.0,0.27051026582570903
9,0,96,102,179,141,0.3870076208086826,0.3029109552674721,0.06332466124161557,0.2231553583012135,0.34275383914857405,0.23370328044864846,0.17558365077445756
