frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,81,100,136,167,0.8172419171364873,0.06779971025645112,0.07225932917459926,0.42779370565878777,0.19137460827794792,0.0,0.0
1,0,119,100,177,125,0.5514812144463519,0.14783823042536376,0.2867306202111859,0.6655803817072128,0.022241716518079158,0.26931032833630053,0.3810541085826217
2,0,105,114,157,136,0.6679728953587774,0.2729910225507062,0.14918251757781592,0.22353238089348643,0.01509473729536398,0.23136559745630794,0.0
3,0,93,84,126,141,0.6787079056115981,0.19774552288092692,0.0,0.14189133114470479,0.14895971338783492,0.14590659188430954,0.26344461571666955
4,0,81,95,156,153,0.5862438482106076,0.1993494371883205,0.14487487698239412,0.2042119751055188,0.06305755456798656,0.0586003870806632,0.5509604822982381
5,0,110,101,177,151,0.6828222594238299,0.0,0.4051562860154816,0.11873535802163501,0.22344593830721365,0.16201005558070433,0.47307365721875705
6,0,119,111,161,163,0.7167052206765414,0.19534840467700815,0.08371839149357149,0.011054397572877933,0.4743848152883181,0.357393660714006,0.17917647215227295
7,0,117,92,129,159,0.6374501417273793,0.0996093027375861,0.15964290680103416,0.17616377612611409,0.3527794139944435,0.1170430477012538,0.020888319592937465
8,0,84,86,130,172,0.6812780616475886,0.22569158500413264,0.22501760801556805,0.1136267322577127,0.1824518627639081,0.41612398181222265,0.4734590110163419
9,0,101,111,152,165,0.49388901350208586,0.17130119426905246,0.1347477337742128,0.16240532696232296,0.18753886672460804,0.00037707316283486225,0.0
