frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,87,117,173,144,0.32588625576015984,0.4424484096013179,0.3400239586872129,0.531317701365801,0.38365216038213834,0.23500430849388645,0.18863647569008118
1,0,80,85,148,179,0.5518204419696177,0.2990635537847201,0.1273706702858727,0.0,0.0,0.14364969199484712,0.36713307634421766
2,0,115,80,137,125,0.6169820287185976,0.2473789518056717,0.17974288550546444,0.14996575428600356,0.30591136345704156,0.06720288688395154,0.22027937740779485
3,0,89,103,168,156,0.8249141171856709,0.41798096696609877,0.0,0.278301213541373,0.0,0.13391652324725722,0.23369217750042745
4,0,85,85,169,178,0.8098962525749676,0.09298951238396216,0.28118962834146954,0.505041613773543,0.3432836129844343,0.2753496432146535,0.02376402419445725
5,0,107,89,174,154,0.9144079048113003,0.2352678305940905,0.26699571395889177,0.11093514339852271,0.1754699799686032,0.2043253358380036,0.22190073637525748
6,0,108,104,166,148,0.8866994428785075,0.13763986054179383,0.31741567834420603,0.23380624145156392,0.14733709494074398,0.0,0.34980453401291023
7,0,110,104,145,142,0.8536664484043222,0.0,0.033229210918919144,0.29383172990923945,0.1902283749391568,0.0,0.18270771094175556
8,0,86,85,122,135,0.9457224600012272,0.1399507031044743,0.17680666579662963,0.412338295715818,0.21173170941622654,0.14535844709255263,0.3356457993529565
9,0,91,114,164,163,0.4382807999177937,0.0,0.22278873598894902,0.0,0.3022785548815001,0.3551913680285638,0.1626741160375399
