frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,96,113,141,120,0.7812264480306699,0.30601680306398715,0.2341818978649153,0.387649980903873,0.24064764298578875,0.25028303417525055,0.19215081968804423
1,0,110,84,139,165,0.44056013377171466,0.19193346119707083,0.0,0.26660692481846454,0.1865997036497614,0.30605452436403235,0.1490228376985776
2,0,103,112,145,169,0.2768374062914031,0.17999780847985386,0.13230406506050643,0.20240005864770233,0.30282336826860745,0.0,0.2047911354304915
3,0,96,88,170,177,0.6103007869528062,0.2543199563960386,0.39155505013054936,0.059569811332785105,0.2189512425480838,0.056674548630815946,0.1566790297869371
4,0,88,94,163,141,0.2972265565834859,0.111586753328242,0.2871161112185218,0.2222361691912209,0.4055609408539883,0.1193889913655283,0.10252929977430136
5,0,110,118,139,168,0.803547844753123,0.11962140011921205,0.07678789594369714,0.37567652554358444,0.06091095110478442,0.19809267840079736,0.0
6,0,110,94,125,123,0.5530351282131714,0.015993716623785986,0.25864583365157023,0.2611050761747243,0.05603904576994284,0.0,0.050292906729196785
7,0,91,115,128,151,0.6458540704013649,0.3268104278421985,0.0,0.15087600752201727,0.25067925969932764,0.15667636259597578,0.3255277096317207
8,0,112,119,175,154,0.6948567990707764,0.1880693093308049,0.15279946845358347,0.32861778531202457,0.3627776073690612,0.07228541944514191,0.5177503405928696
9,0,86,91,167,157,0.6159809994369808,0.37759416784004646,0.8758283737643042,0.24044645145066743,0.1379235319843553,0.1293547291338633,0.33528980647055295
