frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,111,97,148,172,0.1267420690374123,0.08031711386527926,0.10066474730125893,0.013560112721109935,0.11985522498472696,0.19993936293439302,0.3372531940632863
1,0,85,98,161,145,0.6600233129957473,0.29455749234973594,0.3932594778461954,0.2818763501392837,0.17427277793348825,0.0529783474327937,0.4757702186136079
2,0,111,91,161,151,0.5384060484935791,0.032011782943137085,0.2512037267009526,0.1506422303692716,0.1267173172746595,0.21305208446097762,0.0
3,0,90,119,179,133,0.4395516943714771,0.11136527860275379,0.11131595319913117,0.11825850893368346,0.1894514590586494,0.2966435828608266,0.22073048940981005
4,0,117,115,140,149,0.5807137482055944,0.0,0.0,0.10946617266472006,0.1156233643326879,0.0,0.24925566937823293
5,0,90,88,132,139,0.6629988221149269,0.29175613641010634,0.3199696709245112,0.3508289368893779,0.24352780747844766,0.13946756426291965,0.0
6,0,84,106,151,171,0.33806491136061506,0.13615846325386094,0.09451112498153436,0.30955314191903704,0.2412491343554043,0.33483197006739657,0.29722711001409036
7,0,107,96,144,154,0.2664342184626902,0.3592766472838911,0.19283949391915028,0.37514328241637607,0.22511108774294292,0.19089237344161258,0.06076835665815267
8,0,114,106,124,141,0.5304340600288926,0.05361928139843897,0.34706600049136516,0.19574503731124504,0.0,0.41814924232567297,0.19321213944238705
9,0,92,109,153,177,0.4455588547245755,0.1695476432635164,0.22638243347391052,0.417777464160909,0.17449066929023566,0.0,0.3487980956529301
