frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,89,96,140,122,0.7568044671136144,0.3069739046466605,0.1478757696283683,0.1062498425577581,0.15308299716376453,0.0928461958319116,0.06540904122274993
1,0,117,106,161,125,0.9975592428243895,0.10690612145187343,0.4332073601924683,0.37650552763026734,0.0,0.3781775830125388,0.27437350207720623
2,0,86,80,155,164,0.2501835795371917,0.21556590200884065,0.36859065722264883,0.17271663611035584,0.0,0.23072401028837886,0.03968077321471297
3,0,111,89,157,168,0.4704024794630879,0.1496020395279081,0.03941877294631105,0.1235918347322719,0.09969769511830687,0.13213959810426923,0.5011442972513716
4,0,108,96,144,156,0.4993578787926027,0.37599351511020984,0.0,0.09368544240746751,0.16553573821482678,0.1534775935704083,0.4030626672316897
5,0,102,92,125,144,0.4105738776730291,0.2806125035965464,0.37081840163622704,0.0936499239912923,0.0,0.41056863192840864,0.0
6,0,95,102,157,126,0.6017440420152604,0.5893345879754889,0.0,0.2853765317165692,0.08163574106051383,0.10907670627380898,0.20414905072630965
7,0,93,89,179,126,0.704423311158458,0.20534740536685442,0.0,0.24817778985590225,0.19644712724445382,0.19368338359001214,0.14278256571466305
8,0,109,103,138,138,0.48797240054391644,0.40835266761990724,0.0,0.06142359303918435,0.06417505953753858,0.17214686399249637,0.26112893310820845
9,0,85,109,128,147,0.4484554025056606,0.3447382433261512,0.20744936009023726,0.32243418009538377,0.42526428897904295,0.15428458588471772,0.21187782928221363
