frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,85,107,147,174,0.23724672342539554,0.11217163787692673,0.2821431161342835,0.168967756535676,0.4272623932437147,0.04177524645527472,0.2940264291852469
1,0,115,113,149,138,0.5555540659239273,0.15052342607735697,0.201283588877427,0.0,0.0,0.30168662118654344,0.18928851641585556
2,0,90,108,170,147,0.5745020576744346,0.06906455966959876,0.16482903363926435,0.0,0.4580027472272584,0.059729917462539306,0.14084679871721797
3,0,114,97,136,177,0.7959356505991435,0.04483846774939351,0.4279316432110845,0.3164587577953881,0.09097734818640348,0.05409528978809244,0.24722507342076233
4,0,118,88,133,179,0.5582437497809545,0.40451958448554737,0.3857086622806859,0.0,0.005321847065063362,0.07001020079812831,0.09634013484200943
5,0,99,82,121,177,0.7217878246973162,0.23549869262848994,0.15170803607816707,0.39673151896505743,0.0,0.12266264329816358,0.05772015945654238
6,0,90,104,123,134,0.6381637051995078,0.16767736924445756,0.17322521019888099,0.09745164160134616,0.29702081898674804,0.24690373514859232,0.07347639409423243
7,0,102,101,134,170,0.772416041404802,0.2375187025053473,0.018768579455686885,0.37088452498691715,0.06920973444150702,0.04040167282586424,0.24697587269384094
8,0,117,91,124,162,0.929126703684596,0.3773356727440986,0.574869496291037,0.25668696367542043,0.03038230874275072,0.23639031482749454,0.2431793891945615
9,0,91,91,171,122,0.6858126858947771,0.40846609884003504,0.09243203976497774,0.14003304644948625,0.21026678778120123,0.1586511921912106,0.34400870471324285
